row_id,state,condition_category,responder_type,statute_citation,date_effective,date_effective_snippet,date_sunset,date_sunset_snippet,notes,any_date,needs_review
43,CA,infectious,firefighter,Cal. Gov. Code § 7523 (COVID-19 Disability Retirement Presumption),NA,NA,1/1/24,"Expired: § 7523.2 repealed this article effective January 1, 2024. Covered public ret","Expired: § 7523.2 repealed this article effective January 1, 2024. Covered public retirement system members in firefighter and peace officer job classifications under § 3212.87. Rebuttable presumption of service-related disability for COVID-19-related disability retirement.",TRUE,FALSE
44,CA,infectious,law_enforcement,Cal. Gov. Code § 7523 (COVID-19 Disability Retirement Presumption),NA,NA,1/1/24,"Expired: § 7523.2 repealed this article effective January 1, 2024. Covered public ret","Expired: § 7523.2 repealed this article effective January 1, 2024. Covered public retirement system members in peace officer job classifications under § 3212.87.",TRUE,FALSE
45,CA,cardiovascular,firefighter,Cal. Gov. Code § 31720.5,NA,NA,NA,NA,"County pension system (Chapter 4 / Chapter 5 systems). Requires 5 years service. Covers safety members, firefighter members (including active fire suppression members not classified as safety members), and members in active law enforcement. Disease not attributed to pre-existing condition. Rebuttable.",FALSE,FALSE
46,CA,cardiovascular,law_enforcement,Cal. Gov. Code § 31720.5,NA,NA,NA,NA,County pension system. 5 years service required. Covers members in active law enforcement.,FALSE,FALSE
47,CA,other,law_enforcement,Cal. Gov. Code § 31720.96 (references Lab. Code § 3213.2),NA,NA,NA,NA,County pension system disability retirement presumption. Member must have been employed full-time for at least 5 consecutive months in a calendar year in the listed classification AND required to wear a duty belt as a condition of employment.,FALSE,FALSE
48,CO,cancer,firefighter,C.R.S. § 8-41-209,NA,NA,NA,NA,"Applies to full-time firefighters employed minimum 1,600 hours annually. Pre-employment exam must have failed to reveal substantial evidence of the condition. Employer may rebut by preponderance of medical evidence.",FALSE,FALSE
49,CO,cardiovascular,firefighter,"C.R.S. §§ 29-5-301, 29-5-302",NA,NA,NA,NA,"Requires 5 years continuous full-time employment. Malfunction must occur during or within 48 hours after a qualifying work event (fire suppression, rescue, hazmat, EMS, disaster relief, or other emergency response). Benefits reduced 25% if firefighter smoked tobacco within 5 years preceding event. Benefits offset by WC, pension, Social Security, retirement, and other employer-paid income. Maximum $250,000 per event. This is a benefit statute under Title 29, not a WC presumption under Title 8.",FALSE,FALSE
50,CO,cardiovascular,firefighter_volunteer,"C.R.S. §§ 29-5-301, 29-5-302",NA,NA,NA,NA,Employer may (not shall) provide equivalent benefits for volunteer firefighters. Requires 5 years continuous service with the same employer. Malfunction must occur during or within 48 hours after a qualifying work event. Benefits reduced 25% if firefighter smoked tobacco within 5 years preceding event.,FALSE,FALSE
51,CO,infectious,firefighter,C.R.S. § 8-41-208,NA,NA,NA,NA,Baseline test must show employee was uninfected at time of exposure. Employer may rebut by preponderance of evidence that exposure did not occur on the job.,FALSE,FALSE
52,CO,infectious,emt_paramedic,C.R.S. § 8-41-208,NA,NA,NA,NA,Statute covers 'emergency services providers.' Baseline test must show employee was uninfected at time of exposure. Employer may rebut by preponderance of evidence.,FALSE,FALSE
53,CO,infectious,law_enforcement,C.R.S. § 8-41-208,NA,NA,NA,NA,Statute covers 'peace officers.' Baseline test must show employee was uninfected at time of exposure. Employer may rebut by preponderance of evidence.,FALSE,FALSE
54,CT,cardiovascular,firefighter,Conn. Gen. Stat. § 7-433c,NA,NA,NA,NA,"Applies ONLY to uniformed paid municipal firefighters who began employment BEFORE July 1, 1996. Pre-employment exam must have failed to reveal any evidence of hypertension or heart disease. Benefits provided in lieu of chapter 568 WC benefits for hypertension/heart disease. Includes retirement/survivor benefits. 'Municipal employer' as defined in § 7-467.",FALSE,FALSE
55,CT,cardiovascular,law_enforcement,Conn. Gen. Stat. § 7-433c,NA,NA,NA,NA,"Applies ONLY to regular paid municipal police officers who began employment BEFORE July 1, 1996. Pre-employment exam must have failed to reveal any evidence of hypertension or heart disease. Benefits provided in lieu of chapter 568 WC benefits. Includes retirement/survivor benefits.",FALSE,FALSE
56,CT,cardiovascular,firefighter,Conn. Gen. Stat. § 31-294i,NA,NA,NA,NA,"Applies to uniformed paid municipal firefighters hired after July 1, 1996. Pre-employment exam by licensed physician must have failed to reveal evidence of condition. Rebuttable by preponderance of evidence.",FALSE,FALSE
57,CT,cardiovascular,law_enforcement,Conn. Gen. Stat. § 31-294i,NA,NA,NA,NA,"Applies to regular members of paid municipal police departments hired after July 1, 1996. Pre-employment exam by licensed physician must have failed to reveal evidence of condition. Rebuttable by preponderance of evidence.",FALSE,FALSE
58,CT,infectious,firefighter,Conn. Gen. Stat. § 31-294j,NA,NA,NA,NA,Covers uniformed paid and volunteer firefighters. Also includes prostate cancer and testicular cancer under this occupational disease section.,FALSE,FALSE
59,CT,infectious,firefighter_volunteer,Conn. Gen. Stat. § 31-294j,NA,NA,NA,NA,Covers uniformed members of paid and volunteer fire departments. Also includes prostate cancer and testicular cancer under this occupational disease section.,FALSE,FALSE
60,CT,infectious,law_enforcement,Conn. Gen. Stat. § 31-294j,NA,NA,NA,NA,Covers regular paid municipal police officers and constables. Also includes prostate cancer and testicular cancer under this occupational disease section.,FALSE,FALSE
61,CT,infectious,emt_paramedic,Conn. Gen. Stat. § 31-294j,NA,NA,NA,NA,Covers members of volunteer ambulance services. Also includes prostate cancer and testicular cancer under this occupational disease section.,FALSE,FALSE
62,CT,cancer,firefighter,"Conn. Gen. Stat. § 159 (eff. October 1, 2023)",10/1/23,"tate employers no longer obligated to provide compensation. Effective October 1, 2023.",NA,NA,"Requires 5 years as interior structural firefighter or equivalent fire marshal/investigator. Tobacco exclusion: no cigarette use during 15-year period prior to diagnosis. Benefits offset by other benefits received. If firefighters cancer relief account becomes insolvent, municipal/state employers no longer obligated to provide compensation. Effective October 1, 2023.",TRUE,FALSE
63,CT,mental,firefighter,Conn. Gen. Stat. § 31-294k,NA,NA,NA,NA,"Qualifying events include witnessing death, traumatic injury, or COVID-19 exposure. Medical records subject to workers' compensation guidelines.",FALSE,FALSE
64,CT,mental,law_enforcement,Conn. Gen. Stat. § 31-294k,NA,NA,NA,NA,"Qualifying events include witnessing death, traumatic injury, or COVID-19 exposure.",FALSE,FALSE
65,CT,mental,emt_paramedic,Conn. Gen. Stat. § 31-294k,NA,NA,NA,NA,"Covers emergency medical services personnel. Qualifying events include witnessing death, traumatic injury, or COVID-19 exposure.",FALSE,FALSE
66,CT,mental,corrections,Conn. Gen. Stat. § 31-294k,NA,NA,NA,NA,"Covers Department of Correction employees and telecommunicators. Qualifying events include witnessing death, traumatic injury, or COVID-19 exposure.",FALSE,FALSE
67,DC,cardiovascular,firefighter,D.C. Code § 5-652,NA,NA,NA,NA,Covers sworn firefighters with DC Fire and EMS Department. Presumption applies when diagnosis results in inability to perform full duties or death. Pre-employment exam must have shown freedom from condition. Rebuttable by preponderance of evidence to the contrary. Coverage denied if eligible vaccine refused without physician-documented health risk (§ 5-655). Eligibility requires compliance with annual physical examinations (§ 5-655.01).,FALSE,FALSE
68,DC,cardiovascular,emt_paramedic,D.C. Code § 5-652,NA,NA,NA,NA,Covers non-sworn EMS employees of DC Fire and EMS Department. Presumption applies when diagnosis results in inability to perform full duties or death. Rebuttable by preponderance of evidence.,FALSE,FALSE
69,DC,respiratory,firefighter,D.C. Code § 5-652,NA,NA,NA,NA,Covers sworn firefighters with DC Fire and EMS Department. Presumption applies when diagnosis results in inability to perform full duties or death. Rebuttable by preponderance of evidence.,FALSE,FALSE
70,DC,respiratory,emt_paramedic,D.C. Code § 5-652,NA,NA,NA,NA,Covers non-sworn EMS employees of DC Fire and EMS Department. Presumption applies when diagnosis results in inability to perform full duties or death. Rebuttable by preponderance of evidence.,FALSE,FALSE
71,DC,cancer,firefighter,D.C. Code § 5-653,NA,NA,NA,NA,"Covers sworn firefighters. Requires 10 years of service. Second cancer category (brain, non-Hodgkin's, throat, kidney, thyroid, bladder) requires documented toxic substance exposure. Rebuttable by preponderance of evidence.",FALSE,FALSE
72,DC,cancer,emt_paramedic,D.C. Code § 5-653,NA,NA,NA,NA,Covers non-sworn EMS employees. Requires 10 years of service. Second cancer category requires documented toxic substance exposure. Rebuttable by preponderance of evidence.,FALSE,FALSE
73,DC,infectious,firefighter,D.C. Code § 5-654,NA,NA,NA,NA,Requires documented exposure to blood or bodily fluids. Covers sworn firefighters. Rebuttable by preponderance of evidence. Coverage denied if eligible vaccine refused without physician-documented health risk (§ 5-655).,FALSE,FALSE
74,DC,infectious,emt_paramedic,D.C. Code § 5-654,NA,NA,NA,NA,Requires documented exposure to blood or bodily fluids. Covers non-sworn EMS employees. Rebuttable by preponderance of evidence.,FALSE,FALSE
75,DE,cancer,firefighter,"Del. Code tit. 18, §§ 6701B-6703B, 6709B",NA,NA,NA,NA,"Requires 3 years of active service (1,250 hours/year for paid members; active status per department for volunteers). Statute is a benefit fund, not a WC presumption — no rebuttability language. Benefits: early-stage $5,000 lump sum; advanced-stage $20,000 lump sum; combined lifetime max $40,000. Monthly disability: Class 1 (paid active) = lesser of 60% salary or $4,000/month; Class 2 (other eligible) = $1,500/month; up to 36 months duration. Paid and volunteer firefighters both covered; also covers EMTs, paramedics, fire instructors, fire marshals, fire police.",FALSE,FALSE
76,DE,cancer,firefighter_volunteer,"Del. Code tit. 18, §§ 6701B-6703B, 6709B",NA,NA,NA,NA,"Volunteer active status defined per individual department. Requires 3 years active service. Monthly disability benefit for Class 2: $1,500/month up to 36 months. Statute explicitly covers volunteer firefighters.",FALSE,FALSE
77,DE,cancer,emt_paramedic,"Del. Code tit. 18, §§ 6701B-6703B, 6709B",NA,NA,NA,NA,"Statute explicitly covers EMTs and paramedics. Requires 3 years active service (1,250 hours/year for paid members). Monthly disability benefit for Class 1 (paid active) = lesser of 60% salary or $4,000/month; Class 2 (other eligible) = $1,500/month.",FALSE,FALSE
78,FL,cardiovascular,firefighter,Fla. Stat. § 112.18,NA,NA,NA,NA,Pre-employment exam must have failed to reveal any evidence of the condition. Presumption that condition was accidental and suffered in the line of duty. Does not apply to life/disability insurance unless negotiated.,FALSE,FALSE
79,FL,infectious,firefighter,Fla. Stat. § 112.18,NA,NA,NA,NA,Pre-employment exam must have failed to reveal any evidence of the condition. Presumption that condition was accidental and suffered in the line of duty.,FALSE,FALSE
80,FL,cardiovascular,law_enforcement,Fla. Stat. § 112.18,NA,NA,NA,NA,"Covers law enforcement officers and correctional officers as defined in s. 943.10(1), (2), or (3). Pre-employment exam must have failed to reveal the condition.",FALSE,FALSE
81,FL,infectious,law_enforcement,Fla. Stat. § 112.18,NA,NA,NA,NA,"Covers law enforcement officers and correctional officers as defined in s. 943.10(1), (2), or (3). Pre-employment exam must have failed to reveal the condition.",FALSE,FALSE
82,FL,infectious,firefighter,Fla. Stat. § 112.181,NA,NA,NA,NA,Employee must file written affidavit declaring no outside exposure. Pre-employment exam required (testing for hepatitis/TB; meningitis exempt from exam requirement). Employer must maintain exposure records. Immunization refusal disqualifies from presumption. Covers full-time employees only; excludes public hospital employees.,FALSE,FALSE
83,FL,infectious,emt_paramedic,Fla. Stat. § 112.181,NA,NA,NA,NA,Covers paramedics and EMTs employed full-time by the state or political subdivision. Written affidavit of no outside exposure required. Immunization refusal disqualifies. Excludes public hospital employees.,FALSE,FALSE
84,FL,infectious,law_enforcement,Fla. Stat. § 112.181,NA,NA,NA,NA,Covers law enforcement and correctional officers employed full-time. Written affidavit of no outside exposure required. Immunization refusal disqualifies. Excludes public hospital employees.,FALSE,FALSE
85,FL,mental,firefighter,Fla. Stat. § 112.1815,10/1/18,"quired. Not subject to apportionment for pre-existing PTSD. Effective October 1, 2018. Also covers volunt",NA,NA,"PTSD is a compensable occupational disease. Must be diagnosed by a licensed psychiatrist who is an authorized treating physician. Must result from one of enumerated qualifying events (e.g., death of a minor, grievous bodily harm). No physical injury required. Not subject to apportionment for pre-existing PTSD. Effective October 1, 2018. Also covers volunteer firefighters.",TRUE,FALSE
86,FL,mental,emt_paramedic,Fla. Stat. § 112.1815,10/1/18," enumerated qualifying events. No physical injury required. Effective October 1, 2018. Also covers volunt",NA,NA,"PTSD is a compensable occupational disease for EMTs and paramedics. Must be diagnosed by a licensed psychiatrist. Must result from enumerated qualifying events. No physical injury required. Effective October 1, 2018. Also covers volunteer EMTs/paramedics.",TRUE,FALSE
87,FL,mental,law_enforcement,Fla. Stat. § 112.1815,10/1/18," enumerated qualifying events. No physical injury required. Effective October 1, 2018. Also covers volunt",NA,NA,"PTSD is a compensable occupational disease for law enforcement officers. Must be diagnosed by a licensed psychiatrist. Must result from enumerated qualifying events. No physical injury required. Effective October 1, 2018. Also covers volunteer law enforcement.",TRUE,FALSE
88,FL,cancer,firefighter,Fla. Stat. § 112.1816,7/1/19,"irefighter. This is an alternative to WC under chapter 440. Effective July 1, 2019.",NA,NA,"Covers full-time firefighters only (not volunteer). Must not have used tobacco products for at least 5 preceding years. Must not have been employed in a higher-risk position in the preceding 5 years. Benefits include employer-sponsored health plan coverage (with out-of-pocket reimbursement) and $25,000 one-time cash payout on initial diagnosis. Post-termination coverage available for 10 years if eligibility criteria met at termination and not subsequently employed as firefighter. This is an alternative to WC under chapter 440. Effective July 1, 2019.",TRUE,FALSE
